#id,name,icon,r1,g1,b1,r2,g2,b2,
10300134,수줍은 미소 얼굴,10300134,0,0,0,0,0,0,
10300135,수줍은 미소 얼굴,10300135,0,0,0,0,0,0,
10300136,순정 만화 얼굴,10300136,0,0,0,0,0,0,
10300137,순정 만화 얼굴,10300137,0,0,0,0,0,0,
10300138,아이돌 눈빛 얼굴,10300138,0,0,0,0,0,0,
10300139,아이돌 눈빛 얼굴,10300139,0,0,0,0,0,0,
10300140,꿈꾸는 나비 얼굴,10300140,0,0,0,0,0,0,
10300141,꿈꾸는 나비 얼굴,10300141,0,0,0,0,0,0,
10300142,레이 얼굴,10300142,0,0,0,0,0,0,
10300143,레이 얼굴,10300143,0,0,0,0,0,0,
10300144,저항군 지그문트 얼굴,10300144,0,0,0,0,0,0,
10300145,저항군 지그문트 얼굴,10300145,0,0,0,0,0,0,
10300148,글썽글썽 눈망울 얼굴,10300148,0,0,0,0,0,0,
10300149,글썽글썽 눈망울 얼굴,10300149,0,0,0,0,0,0,
10300150,반달 눈웃음 얼굴,10300150,0,0,0,0,0,0,
10300151,반달 눈웃음 얼굴,10300151,0,0,0,0,0,0,
10300152,두근두근 하트 얼굴,10300152,0,0,0,0,0,0,
10300153,두근두근 하트 얼굴,10300153,0,0,0,0,0,0,
10300154,똘망똘망 별빛 얼굴,10300154,0,0,0,0,0,0,
10300155,똘망똘망 별빛 얼굴,10300155,0,0,0,0,0,0,
10300156,망울망울 물빛 얼굴,10300156,0,0,0,0,0,0,
10300157,망울망울 물빛 얼굴,10300157,0,0,0,0,0,0,
10300158,차가운 도시 남자 얼굴,10300158,0,0,0,0,0,0,
10300159,차가운 도시 여자 얼굴,10300159,0,0,0,0,0,0,
10300160,쿨 뷰티 얼굴,10300160,0,0,0,0,0,0,
10300161,쿨 뷰티 얼굴,10300161,0,0,0,0,0,0,
10300162,또렷한 눈빛 얼굴,10300162,0,0,0,0,0,0,
10300163,또렷한 눈빛 얼굴,10300163,0,0,0,0,0,0,
10300164,샤프한 눈빛 얼굴,10300164,0,0,0,0,0,0,
10300165,샤프한 눈빛 얼굴,10300165,0,0,0,0,0,0,
10300166,붉은 눈가 얼굴,10300166,0,0,0,0,0,0,
10300167,붉은 눈가 얼굴,10300167,0,0,0,0,0,0,
10300172,해맑은 얼굴,10300172,0,0,0,0,0,0,
10300173,해맑은 얼굴,10300173,0,0,0,0,0,0,
10300174,노곤노곤 얼굴,10300174,0,0,0,0,0,0,
10300175,노곤노곤 얼굴,10300175,0,0,0,0,0,0,
10300176,별반짝 고양이 얼굴,10300176,0,0,0,0,0,0,
10300177,별반짝 고양이 얼굴,10300177,0,0,0,0,0,0,
10300178,까다로운 얼굴,10300178,0,0,0,0,0,0,
10300179,까다로운 얼굴,10300179,0,0,0,0,0,0,
10300180,불꽃폭풍 얼굴,10300180,0,0,0,0,0,0,
10300181,불꽃폭풍 얼굴,10300181,0,0,0,0,0,0,
10300182,삼백안을 가진 얼굴,10300182,0,0,0,0,0,0,
10300183,삼백안을 가진 얼굴,10300183,0,0,0,0,0,0,
10300184,아이라인 짙은 얼굴,10300184,0,0,0,0,0,0,
10300185,아이라인 짙은 얼굴,10300185,0,0,0,0,0,0,
10300186,강인한 얼굴 (남),10300186,0,0,0,0,0,0,
10300187,강인한 얼굴 (여),10300187,0,0,0,0,0,0,
10300188,흑막 얼굴,10300188,0,0,0,0,0,0,
10300189,흑막 얼굴,10300189,0,0,0,0,0,0,
10300190,무심한 얼굴,10300190,0,0,0,0,0,0,
10300191,무심한 얼굴,10300191,0,0,0,0,0,0,
10300192,눈웃음 얼굴,10300192,0,0,0,0,0,0,
10300193,눈웃음 얼굴,10300193,0,0,0,0,0,0,
10300194,시무룩 냥이 얼굴,10300194,0,0,0,0,0,0,
10300195,시무룩 냥이 얼굴,10300195,0,0,0,0,0,0,
10300196,차분 고요한 얼굴,10300196,0,0,0,0,0,0,
10300197,차분 고요한 얼굴,10300197,0,0,0,0,0,0,
10300198,마네킹용 페이스 (남),10300198,0,0,0,0,0,0,
10300199,마네킹용 페이스 (여),10300199,0,0,0,0,0,0,
